Harry ate six shrimp at dinner.;Voz activa
My grandfather built this house in 1943.;Voz activa
Beautiful giraffes roam the savannah;Voz activa
The savannah is roamed by beautiful giraffes;Voz pasiva
Sue changed the flat tire;Voz activa
The flat tire was changed by Sue;Voz pasiva
We are going to watch a movie tonight;Voz activa
A movie is going to be watched by us tonight;Voz pasiva
I ran the obstacle course in record time;Voz activa
The obstacle course was run by me in record time;Voz pasiva
The crew paved the entire stretch of highway;Voz activa
The entire stretch of highway was paved by the crew;Voz pasiva
Mom read the novel in one day;Voz activa
The novel was read by Mom in one day;Voz pasiva
The critic wrote a scathing review;Voz activa
A scathing review was written by the critic;Voz pasiva
I will clean the house every Saturday;Voz activa
The house will be cleaned by me every Saturday;Voz pasiva
The staff is required to watch a safety video every year;Voz activa
A safety video will be watched by the staff every year;Voz pasiva
She faxed her application for a new job;Voz activa
The application for a new job was faxed by her;Voz pasiva
Tom painted the entire house;Voz activa
The entire house was painted by Tom;Voz pasiva
The teacher always answers the students questions;Voz activa
The students’ questions are always answered by the teacher;Voz pasiva
The choir really enjoys that piece;Voz activa
That piece is really enjoyed by the choir;Voz pasiva
Who taught you to ski? ;Voz activa
By whom were you taught to ski? ;Voz pasiva
The forest fire destroyed the whole suburb. ;Voz activa
The whole suburb was destroyed by the forest fire. ;Voz pasiva
The two kings are signing the treaty. ;Voz activa
The treaty is being signed by the two kings. ;Voz pasiva
The cleaning crew vacuums and dusts the office every night. ;Voz activa
Every night the office is vacuumed and dusted by the cleaning crew. ;Voz pasiva
Larry generously donated money to the homeless shelter. ;Voz activa
Money was generously donated to the homeless shelter by Larry. ;Voz pasiva
No one responded to my sales ad. ;Voz activa
My sales ad was not responded to by anyone. ;Voz pasiva
The wedding planner is making all the reservations. ;Voz activa
All the reservations will be made by the wedding planner. ;Voz pasiva
Susan will bake two dozen cupcakes for the bake sale. ;Voz activa
Yam is eaten by people in my country ;Voz pasiva
The science class viewed the comet. ;Voz activa
The comet was viewed by the science class. ;Voz pasiva
Who ate the last cookie? ;Voz activa
The last cookie was eaten by whom? ;Voz pasiva
Alex posted the video on Facebook. ;Voz activa
The video was posted on Facebook by Alex. ;Voz pasiva
The director will give you instructions. ;Voz activa
Instructions will be given to you by the director. ;Voz pasiva
Thousands of tourists view the Grand Canyon every year. ;Voz activa
The Grand Canyon is viewed by thousands of tourists every year. ;Voz pasiva
The homeowners remodeled the house to help it sell. ;Voz activa
The house was remodeled by the homeowners to help it sell. ;Voz pasiva
The team will celebrate their victory tomorrow. ;Voz activa
The victory will be celebrated by the team tomorrow. ;Voz pasiva
The saltwater eventually corroded the metal beams. ;Voz activa
The metal beams were eventually corroded by the saltwater. ;Voz pasiva
The kangaroo carried her baby in her pouch. ;Voz activa
The baby was carried by the kangaroo in her pouch. ;Voz pasiva
Some people raise sugar cane in Hawaii. ;Voz activa
Sugar cane is raised by some people in Hawaii. ;Voz pasiva
The hunter killed the lion.;Voz activa
The lion was killed by the hunter.;Voz pasiva
Someone has cleaned the windows;Voz activa
The windows have been cleaned;Voz pasiva
I gave him a book for his birthday;Voz activa
He was given a book for his birthday.;Voz pasiva
Someone sent her a cheque for a thousand euros;Voz activa
She was sent a cheque for a thousand euros.;Voz pasiva
They called off the meeting.;Voz activa
The meeting was called off.;Voz pasiva
His grandmother looked after him.;Voz activa
He was looked after by his grandmother.;Voz pasiva
They will send him away to school;Voz activa
He will be sent away to school.;Voz pasiva
 I write a letter;Voz activa
A letter is written by me;Voz pasiva
The girl was washing the dog.;Voz activa
The dog was being washed by the girl.;Voz pasiva
The fox ate pancakes.;Voz activa
Pancakes were eaten by the fox.;Voz pasiva
He is eating dinner.;Voz activa
Dinner is being eaten by him.;Voz pasiva
Today the fox took a test.;Voz activa
Today a test was taken by the fox.;Voz pasiva
The boy is picked up by her mother every day;Voz pasiva
The mother avery day picked the boy;Voz activa
The wall has been painted blue;Voz pasiva
someone painted in blue  the wall;Voz activa
Many foxes can speak Spanish.;Voz activa
Spanish is spoken by many foxes.;Voz pasiva
I made the cookies.;Voz activa
The cookies were made by me.;Voz pasiva
Very few people own pet foxes;Voz activa
Pet foxes are owned by very few people.;Voz pasiva
You can cook popcorn on the stove.;Voz activa
Popcorn can be cooked on the stove.;Voz pasiva
The dog burned the popcorn;Voz activa
The popcorn was burned by the dog;Voz pasiva
The dog bit my hand;Voz activa
My hand was bitten by the dog;Voz pasiva
Many friends visited the fox’s cozy home;Voz activa
The fox’s cozy home was visited by many of his friends;Voz pasiva
Mauricio has dinked his coke early;Voz activa
The coke was drunk early by Mauricio;Voz pasiva
Alberto has ridden the brown horse;Voz activa
The brown horse was ridden by Alberto;Voz pasiva
Carlos kicked the soccer ball;Voz activa
The black ball was kicked by Carlos;Voz pasiva
The child used his toy all afternoon;Voz activa
The toy was used by the child all afternoon;Voz pasiva
Someone built those walls;Voz activa
Those walls were built;Voz pasiva
John bathed the dog;Voz activa
The dog was bathed by John;Voz pasiva
They used the car all day;Voz activa
